cf-release-version,diego-release-version,cflinuxfs2-release-version,garden-runc-release-version,cf-deployment-commit-sha,cf-deployment-transition-commit-sha
259,1.15.2,1.118.0,1.6.0,171fede2351726a520286ab89986946da100be2a, 
259,1.15.3,1.120.0,1.7.0,973af7c6873314f88595783c314a8a4b18320c84, 
261,1.16.1,1.123.0,1.7.0,320eedca948d9a456583091a148214ea5e240bb7,643b7264861f36d3f1bf54da8fe74655cd9eb61c
262,1.16.1,1.123.0,1.7.0,73266bd045f139f26eda2da2b10ca64e006e4e6c,643b7264861f36d3f1bf54da8fe74655cd9eb61c
262,1.17.0,1.123.0,1.7.0,7e40da690c5a9a23eb462d3ccc8921c3f7a6829a,2612d048a9b3d25ef9c86130b62c73452c27f2d3
263,1.18.0,1.128.0,1.8.0,20cccb869e504b0a7828852e0f9945f65bcd7e6c,2612d048a9b3d25ef9c86130b62c73452c27f2d3
263,1.18.0,1.129.0,1.8.0,4ffc6ea1cc237bd76684361b572b4734ecfbad32,a28a0d27020f3c30ed81c7906bc84926279d35f5
263,1.18.1,1.129.0,1.8.0,4ffc6ea1cc237bd76684361b572b4734ecfbad32,a28a0d27020f3c30ed81c7906bc84926279d35f5
264,1.18.1,1.129.0,1.8.0,98229c93929dd917a4c6b812e6f6a0c03e1d7fd7,a28a0d27020f3c30ed81c7906bc84926279d35f5
264,1.18.1,1.130.0,1.8.0,189ac5709f5f118ba059e4eb616e2ba5032c9343,a28a0d27020f3c30ed81c7906bc84926279d35f5
264,1.18.1,1.130.0,1.8.0,8f6aa08e999584d30591c5c3084e7dca319dcb93,a28a0d27020f3c30ed81c7906bc84926279d35f5
264,1.18.1,1.130.0,1.8.0,4eff738b963b6ee891bbca95e495153462353e3b,a28a0d27020f3c30ed81c7906bc84926279d35f5
